Feature Name,Theme,Sub Theme,latitude,longitude,final_relevance_tier,final_relevance_reason
Carlton Courthouse Theatre,Place Of Assembly,Theatre Live,-37.7976589943217,144.968750113566,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Showgrounds,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7823097850883,144.910822117306,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Kraft,Industrial,Industrial (Manufacturing),-37.8262313085528,144.923475698195,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
"Melbourne Wholesale Fruit, Vegetable & Flower Market",Mixed Use,Retail/Office/Carpark,-37.80687252157,144.923287444259,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Melbourne Central,Mixed Use,Retail/Office/Carpark,-37.8105371797142,144.962749729496,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Piazza Italia,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8025164192523,144.965863092947,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Murchinson Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8002735025371,144.973059252203,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Aquarium,Purpose Built,Aquarium,-37.8209627824685,144.958425696055,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Myer,Retail,Department Store,-37.8135911985281,144.963855087868,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
Scots Church,Place of Worship,Church,-37.8145687802664,144.96855105335,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
South Yarra Presbyterian Church,Place of Worship,Church,-37.8407473645397,144.98562699348,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Port of Melbourne,Transport,Transport Terminal,-37.8137384362671,144.91753432375,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
FairFax Studio,Place Of Assembly,Theatre Live,-37.8216684581887,144.968836241692,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Epworth Freemasons Hospital : Medical Centre,Health Services,Private Hospital,-37.8093444587231,144.982336768182,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Central Railway Station,Transport,Railway Station,-37.8105992402369,144.96169061383,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Central Railway Station,Transport,Railway Station,-37.8108930047401,144.963100728702,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Collins Street Baptist Church,Place of Worship,Church,-37.8147011904647,144.968072486031,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Thomas Aquinas Church,Place of Worship,Church,-37.8353076902578,144.976809080472,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Visitor Booth,Community Use,Visitor Centre,-37.8139525061193,144.964425882562,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Powlett Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8116929882498,144.987275671763,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Carlton Primary School,Education Centre,Primary Schools,-37.7959079757171,144.970147317976,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
State Theatre,Place Of Assembly,Theatre Live,-37.8212806349773,144.968469643744,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
University of Melbourne (VCA and Music),Education Centre,Tertiary (University),-37.8241137662047,144.96933253996,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,-37.8352429531289,144.98114217385,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Australian Broadcasting Corporation (ABC),Office,Office,-37.823813323734,144.966551401578,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
IMAX Melbourne,Place Of Assembly,Cinema,-37.8034315561903,144.970639929886,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Richmond Railway Station (Richmond) - Train stop,Transport,Railway Station,-37.8238992659834,144.989400751664,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Victorian Insitute of Forensic Medicine,Office,Office,-37.8246924089335,144.964979061564,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Parliament Railway Station,Transport,Railway Station,-37.8121572789173,144.973742010011,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Showgrounds Railway Station (Flemington),Transport,Railway Station,-37.7834651216244,144.914902626775,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Alfred Hospital,Health Services,Public Hospital,-37.8462631206461,144.981786260765,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Comedy Theatre,Place Of Assembly,Theatre Live,-37.8102053945163,144.97013311862,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
La Mama Theatre,Place Of Assembly,Theatre Live,-37.7991304956733,144.967669503083,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Forum Theatre,Place Of Assembly,Theatre Live,-37.816485409696,144.969386556998,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Dental Hospital,Health Services,Public Hospital,-37.7995065904416,144.964526842767,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Webb Bridge,Transport,Bridge,-37.8232052384507,144.947291011905,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
David Jones,Retail,Department Store,-37.8133127260638,144.964373486798,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
Sinclair's Cottage,Place Of Assembly,Art Gallery/Museum,-37.8145407488014,144.980554992725,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Etihad Stadium,Leisure/Recreation,Major Sports & Recreation Facility,-37.8161760471742,144.947496254547,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8027919689732,144.962760852233,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Bishopscourt,Residential Accommodation,Dwelling (House),-37.8132921649416,144.98350690799,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
St Peter's Eastern Hill,Place of Worship,Church,-37.8097086714637,144.975259178609,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Francis Church,Place of Worship,Church,-37.8118847831837,144.962422614541,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Greek Orthodox Church,Place of Worship,Church,-37.8088064667555,144.978259089269,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
North Melbourne Uniting,Place of Worship,Church,-37.8035538471344,144.947671538375,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8017690847403,144.971997551189,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Treasury Reserve,Mixed Use,Retail/Office,-37.8129178793082,144.975236759799,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
The Mission To Seafarers Victoria,Specialist Residential Accommodation,Hostel,-37.8224995970811,144.951254841448,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.8116945351989,144.936833674975,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
State Coroners Office,Office,Office,-37.8244982228756,144.964675254819,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Fawkner Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8413996708186,144.981625667877,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
BIO 21 Institute,Education Centre,Tertiary (University),-37.7978743305343,144.953780325865,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Enterprize Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820210269629,144.959276859602,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Melbourne Hospital,Health Services,Public Hospital,-37.7993071664096,144.956389746765,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Commonwealth Law Courts,Community Use,Public Buildings,-37.8123961677596,144.955823833257,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
City Baths,Leisure/Recreation,Major Sports & Recreation Facility,-37.8071585350561,144.963189789721,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Flemington Bridge Railway Station,Transport,Railway Station,-37.7881645889621,144.939277838304,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,-37.8142591432011,144.966638432727,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8060684577258,144.971266479841,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Wesley Church,Place of Worship,Church,-37.8101576446961,144.968168215633,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Christ Church Kensington,Place of Worship,Church,-37.7932109480553,144.92729572288,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Private Hospital,Health Services,Private Hospital,-37.7983111309698,144.95728837725,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Victoria Police,Community Use,Police Station,-37.8003121288849,144.954697453742,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.7834303940347,144.961982577553,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8218460949601,144.956665812218,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Australian Red Cross,Office,Office,-37.7990921023192,144.952635945774,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Polly Woodside,Place Of Assembly,Art Gallery/Museum,-37.8242574266145,144.953478052064,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Town Hall,Community Use,Public Buildings,-37.8150754791411,144.966542722283,Tier 2 - Supporting/Access Place,"May provide local or community context, but the source does not establish a current activity."
DFO South Wharf,Mixed Use,Retail/Office,-37.824887401234,144.949794297819,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,-37.8174831423197,144.969899048343,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Channel 7 - Melbourne Broadcast Centre,Purpose Built,Film & RV Studio,-37.8158572333481,144.94582326909,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8247252673963,144.98380297866,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Kangan Batman Tafe,Education Centre,Further Education,-37.8221818203024,144.948908460665,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8213252086842,144.977591098955,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8207887122448,144.972951789291,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7906174256581,144.953834240647,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Government House,Residential Accommodation,Dwelling (House),-37.8275635886174,144.976655130464,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820469374101,144.986671109615,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Central Railway Station,Transport,Railway Station,-37.8097759325888,144.962670059539,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,-37.8222182774409,144.954039975197,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
St Pauls Cathedral,Place of Worship,Church,-37.8169549012399,144.967681647402,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Visitor Centre,Community Use,Visitor Centre,-37.8177352402006,144.967937138226,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,-37.8176107327202,144.969070431323,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
